Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-13,SC,Morro Grande,1,0,15,1,2922,4211256,25.0,25,15,10,,,,,,,,,,,,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-14,SC,Morro Grande,1,0,14,2,2922,4211256,25.0,25,14,11,,,,,,,,,,,,,,,0.0,8555.78,0.0,4791.24,4791.24,3764.54
2020-05-15,SC,Morro Grande,1,0,14,3,2922,4211256,25.0,25,14,11,,,,,,,,,,,,,,,0.0,8555.78,0.0,4791.24,4791.24,3764.54
2020-05-16,SC,Morro Grande,1,0,14,4,2922,4211256,25.0,25,14,11,,,,,,,,,,,,,,,0.0,8555.78,0.0,4791.24,4791.24,3764.54
2020-05-17,SC,Morro Grande,1,0,15,5,2922,4211256,25.0,25,15,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-18,SC,Morro Grande,1,0,15,6,2922,4211256,25.0,25,15,10,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-19,SC,Morro Grande,1,0,15,7,2922,4211256,25.0,25,15,10,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-20,SC,Morro Grande,1,0,15,8,2922,4211256,25.0,25,15,10,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-21,SC,Morro Grande,1,0,15,9,2922,4211256,25.0,25,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-22,SC,Morro Grande,1,0,15,10,2922,4211256,25.0,25,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
2020-05-23,SC,Morro Grande,1,0,15,11,2922,4211256,25.0,25,15,10,0.0,0.0,0.143,0.0,0.143,-0.1429,0.714,0.429,0.0,0.429,0.286,0.143,,,0.0,8555.78,0.0,5133.47,5133.47,3422.31
