Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-02,RO,Cabixi,1,0,4,1,5365,1100031,8.3,8,4,4,,,,,,,,,,,,,,,0.0,0.0,1491.15,0.0,745.57,745.57,745.57
2020-05-03,RO,Cabixi,0,0,0,2,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-04,RO,Cabixi,0,0,0,3,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-05,RO,Cabixi,0,0,0,4,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-06,RO,Cabixi,0,0,0,5,5365,1100031,8.3,0,0,0,-0.1429,-1.1429,-0.5714,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-07,RO,Cabixi,0,0,0,6,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-08,RO,Cabixi,0,0,0,7,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-09,RO,Cabixi,0,0,0,8,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-10,RO,Cabixi,0,0,0,9,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-11,RO,Cabixi,0,0,0,10,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-12,RO,Cabixi,0,0,0,11,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-13,RO,Cabixi,0,0,0,12,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-14,RO,Cabixi,0,0,0,13,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-15,RO,Cabixi,0,0,0,14,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-16,RO,Cabixi,0,0,0,15,5365,1100031,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
