Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-13,MG,Salto da Divisa,1,0,9,7079,3157104,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1271.37,1271.37,988.84
2020-05-14,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-15,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-16,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-17,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,-0.1429,-2.2857,-1.2857,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-18,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-19,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-20,MG,Salto da Divisa,0,0,0,7079,3157104,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-21,MG,Salto da Divisa,1,0,9,7079,3157104,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1271.37,1271.37,988.84
2020-05-22,MG,Salto da Divisa,1,0,9,7079,3157104,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1271.37,1271.37,988.84
2020-05-23,MG,Salto da Divisa,1,0,9,7079,3157104,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1271.37,1271.37,988.84
2020-05-24,MG,Salto da Divisa,1,0,10,7079,3157104,16.5,16,10,6,,,,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1412.63,1412.63,847.58
2020-05-25,MG,Salto da Divisa,1,0,10,7079,3157104,16.5,16,10,6,-0.1429,-2.2857,-1.2857,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1412.63,1412.63,847.58
2020-05-26,MG,Salto da Divisa,1,0,10,7079,3157104,16.5,16,10,6,-0.1429,-2.2857,-1.2857,,,,,,,,,,,,0.0,0.0,2260.21,0.0,1412.63,1412.63,847.58
