Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-28,ES,Ecoporanga,0,0,0,22923,3202108,0,0,,,,,,,,,,,,,,,,0.034,0.0,0.0,0.0,0.0,0.0
2020-04-29,ES,Ecoporanga,0,0,0,22923,3202108,0,0,,,,,,,,,,,,,,,,0.034,0.0,0.0,0.0,0.0,0.0
2020-04-30,ES,Ecoporanga,0,0,0,22923,3202108,0,0,,,,,,,,,,,,,,,,0.034,0.0,0.0,0.0,0.0,0.0
2020-05-01,ES,Ecoporanga,0,0,0,22923,3202108,0,0,,,,,,,,,,,,,,,,0.034,0.0,0.0,0.0,0.0,0.0
2020-05-02,ES,Ecoporanga,1,0,0,22923,3202108,0,1,,,,,,,,,,,,,,,0.0,0.034,43.62,0.0,0.0,0.0,43.62
2020-05-03,ES,Ecoporanga,1,0,0,22923,3202108,0,1,,,,,,,,,,,,,,,0.0,0.034,43.62,0.0,0.0,0.0,43.62
2020-05-04,ES,Ecoporanga,1,0,0,22923,3202108,0,1,,,,,,,,,,,,,,,0.0,0.034,43.62,0.0,0.0,0.0,43.62
2020-05-05,ES,Ecoporanga,1,1,0,22923,3202108,1,0,,,,,,,,,,,,,,1.0,1.0,0.034,43.62,43.62,0.0,43.62,0.0
2020-05-06,ES,Ecoporanga,1,1,0,22923,3202108,1,0,0.0,,,,,,,,,,,,,1.0,1.0,0.034,43.62,43.62,0.0,43.62,0.0
2020-05-07,ES,Ecoporanga,1,1,0,22923,3202108,1,0,,,,,,,,,,,,,,1.0,1.0,0.034,43.62,43.62,0.0,43.62,0.0
2020-05-08,ES,Ecoporanga,1,1,0,22923,3202108,1,0,,,,,,,,,,,,,,1.0,1.0,0.034,43.62,43.62,0.0,43.62,0.0
2020-05-09,ES,Ecoporanga,1,1,0,22923,3202108,1,0,,,,,,,,,,,,,,1.0,1.0,0.034,43.62,43.62,0.0,43.62,0.0
