Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-22,BA,Barreiras,1,0,0,155439,2903201,0,1,,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-23,BA,Barreiras,1,0,0,155439,2903201,0,1,,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-24,BA,Barreiras,1,0,0,155439,2903201,0,1,,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-25,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-26,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-27,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-28,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-29,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-30,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-03-31,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-01,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-02,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-03,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-04,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-05,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-06,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-07,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-08,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-09,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-10,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-11,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-12,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-13,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-14,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-15,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-16,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-17,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-18,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-19,BA,Barreiras,1,0,1,155439,2903201,1,0,0.0,,,,,,,,,,,,,0.0,0.0,,6.43,0.0,6.43,6.43,0.0
2020-04-20,BA,Barreiras,1,0,1,155439,2903201,1,0,0.0,,,,,,,,,,,,,0.0,0.0,,6.43,0.0,6.43,6.43,0.0
2020-04-21,BA,Barreiras,1,0,1,155439,2903201,1,0,0.0,,,,,,,,,,,,,0.0,0.0,,6.43,0.0,6.43,6.43,0.0
2020-04-22,BA,Barreiras,1,0,1,155439,2903201,1,0,0.0,-0.1667,,,,,,,,,,,,0.0,0.0,,6.43,0.0,6.43,6.43,0.0
2020-04-23,BA,Barreiras,1,0,1,155439,2903201,1,0,0.0,-0.1667,,,,,,,,,,,,0.0,0.0,,6.43,0.0,6.43,6.43,0.0
2020-04-24,BA,Barreiras,1,0,1,155439,2903201,1,0,0.0,-0.1667,,,,,,,,,,,,0.0,0.0,,6.43,0.0,6.43,6.43,0.0
2020-04-25,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,-0.1667,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-26,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,-0.1667,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-27,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,-0.1667,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-28,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-29,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-04-30,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-01,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-02,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-03,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-04,BA,Barreiras,1,0,0,155439,2903201,0,1,0.0,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-05,BA,Barreiras,1,0,0,155439,2903201,0,1,0.167,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-06,BA,Barreiras,1,0,0,155439,2903201,0,1,0.167,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-07,BA,Barreiras,1,0,0,155439,2903201,0,1,0.167,,,,,,,,,,,,,,0.0,,6.43,0.0,0.0,0.0,6.43
2020-05-08,BA,Barreiras,2,0,1,155439,2903201,1,1,0.167,,,,,,,,,,,,,0.0,0.0,,12.87,0.0,6.43,6.43,6.43
2020-05-09,BA,Barreiras,2,0,1,155439,2903201,1,1,0.167,,,,,,,,,,,,,0.0,0.0,,12.87,0.0,6.43,6.43,6.43
2020-05-10,BA,Barreiras,2,0,1,155439,2903201,1,1,,,,,,,,,,,,,,0.0,0.0,,12.87,0.0,6.43,6.43,6.43
2020-05-11,BA,Barreiras,2,0,1,155439,2903201,1,1,,,,,,,,,,,,,,0.0,0.0,,12.87,0.0,6.43,6.43,6.43
2020-05-12,BA,Barreiras,2,0,1,155439,2903201,1,1,,,,,,,,,,,,,,0.0,0.0,,12.87,0.0,6.43,6.43,6.43
