Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-25,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-04-26,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-04-27,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-04-28,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-04-29,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-04-30,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-01,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-02,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-03,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-04,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-05,RN,Arês,1,0,0,14306,2401206,0,1,0.0,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-06,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-07,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
2020-05-08,RN,Arês,1,0,0,14306,2401206,0,1,,,,,,,,,,,,,,,0.0,0.034,69.9,0.0,0.0,0.0,69.9
