Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-15,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-16,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-17,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-18,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-19,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-20,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-21,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-22,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-23,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-24,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-25,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-26,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,0.0,0.0,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-27,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-28,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
2020-05-29,BA,Ipecaetá,1,0,3,14632,2913804,8.3,8,3,5,,,,,,,,,,,,,,0.0,0.0,546.747,0.0,205.03,205.03,341.717
