Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-27,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-03-28,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-03-29,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-03-30,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-03-31,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-01,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-02,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-03,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-04,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-05,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-06,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-07,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-08,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-09,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-10,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-11,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-12,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
2020-04-13,PR,Guarapuava,1,0,0,183319,4109401,8.3,8,0,8,0.0,,,,,,,,,,,,,,0.0,43.64,0.0,0.0,0.0,43.64
