Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,PR,6,0,0,11548297,41,8.3,50,0,50,,,,,,,,,,,,,,,0.0,4.33,0.0,0.0,0.0,4.33
2020-03-13,PR,6,0,0,11548297,41,8.3,50,0,50,,,,,,,,,,,,,,,0.0,4.33,0.0,0.0,0.0,4.33
2020-03-16,PR,6,0,0,11548297,41,8.3,50,0,50,,,,,,,,,,,,,,,0.0,4.33,0.0,0.0,0.0,4.33
2020-03-17,PR,12,0,1,11548297,41,8.3,100,1,99,,,,,,,,,,,,,,0.0,0.0,8.659,0.0,0.08659,0.08659,8.573
2020-03-18,PR,14,0,0,11548297,41,8.3,116,0,116,,,,,,,,,,,,,,,0.0,10.045,0.0,0.0,0.0,10.045
2020-03-19,PR,23,0,0,11548297,41,8.3,191,0,191,66.333,,,,,,,,,,,,,,0.0,16.539,0.0,0.0,0.0,16.539
2020-03-20,PR,36,0,1,11548297,41,8.3,299,1,298,66.333,-0.16667,,,,,,,,,,,,0.0,0.0,25.891,0.0,0.08659,0.08659,25.805
2020-03-21,PR,43,0,0,11548297,41,8.3,357,0,357,77.5,,,,,,,,,,,,,,0.0,30.914,0.0,0.0,0.0,30.914
2020-03-22,PR,54,0,0,11548297,41,8.3,448,0,448,102.333,,,,,8.083,,,,,,,,,0.0,38.794,0.0,0.0,0.0,38.794
2020-03-23,PR,60,0,0,11548297,41,8.3,498,0,498,96.833,0.0,,,,10.167,,,,,,,,,0.0,43.123,0.0,0.0,0.0,43.123
2020-03-24,PR,70,0,0,11548297,41,8.3,581,0,581,113.5,,,,,7.833,,,,,1.035,,,,0.0,50.31,0.0,0.0,0.0,50.31
2020-03-25,PR,97,0,0,11548297,41,8.3,805,0,805,114.833,,,,,3.25,,,,,0.3889,,,,0.0,69.707,0.0,0.0,0.0,69.707
2020-03-26,PR,106,0,1,11548297,41,8.3,880,1,879,127.333,,,,,12.222,,,,,3.056,1.788,,0.0,0.0,76.202,0.0,0.08659,0.08659,76.115
2020-03-27,PR,125,2,1,11548297,41,8.3,1038,3,1035,124.5,,,,,11.722,,,,,8.229,1.95,,0.6667,0.00193,89.883,0.1732,0.08659,0.2598,89.624
2020-03-28,PR,137,2,1,11548297,41,8.3,1137,3,1134,121.833,,,,,20.056,,,,,8.188,0.2726,-1.1428,0.6667,0.00176,98.456,0.1732,0.08659,0.2598,98.196
