Date,State,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ_closed,μ_infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-14,SE,1,0,0,2321683,28,8.3,8,0,8,,,,,,,,,,,,,,,0.0,3.446,0.0,0.0,0.0,3.446
2020-03-16,SE,5,0,0,2321683,28,8.3,42,0,42,,,,,,,,,,,,,,,0.0,18.09,0.0,0.0,0.0,18.09
2020-03-18,SE,6,0,0,2321683,28,8.3,50,0,50,,,,,,,,,,,,,,,0.0,21.536,0.0,0.0,0.0,21.536
2020-03-20,SE,7,0,0,2321683,28,8.3,58,0,58,,,,,,,,,,,,,,,0.0,24.982,0.0,0.0,0.0,24.982
2020-03-21,SE,10,0,0,2321683,28,8.3,83,0,83,,,,,,,,,,,,,,,0.0,35.75,0.0,0.0,0.0,35.75
2020-03-24,SE,15,0,0,2321683,28,8.3,125,0,125,,,,,,,,,,,,,,,0.0,53.84,0.0,0.0,0.0,53.84
2020-03-25,SE,16,0,0,2321683,28,8.3,133,0,133,,,,,,,,,,,,,,,0.0,57.286,0.0,0.0,0.0,57.286
2020-03-27,SE,16,0,0,2321683,28,8.3,133,0,133,,,,,,,,,,,,,,,0.0,57.286,0.0,0.0,0.0,57.286
2020-03-30,SE,18,0,3,2321683,28,8.3,149,3,146,,,,,,,,,,,,,,0.0,0.0,64.178,0.0,1.292,1.292,62.885
2020-03-31,SE,19,0,3,2321683,28,8.3,158,3,155,,,,,,,,,,,,,,0.0,0.0,68.054,0.0,1.292,1.292,66.762
2020-04-01,SE,22,0,2,2321683,28,8.3,183,2,181,,,,,,,,,,,,,,0.0,0.0,78.822,0.0,0.8614,0.8614,77.961
2020-04-02,SE,24,2,2,2321683,28,8.3,199,4,195,,,,,,,,,,,,,,0.5,0.01005,85.714,0.8614,0.8614,1.723,83.991
2020-04-03,SE,27,2,2,2321683,28,8.3,224,4,220,,,,,,,,,,,,,,0.5,0.00893,96.482,0.8614,0.8614,1.723,94.759
2020-04-04,SE,32,3,2,2321683,28,8.3,266,5,261,,,,,,,,,,,,,,0.6,0.01128,114.572,1.292,0.8614,2.154,112.418
2020-04-06,SE,32,4,2,2321683,28,8.3,266,6,260,,,,,,,,,,,,,,0.6667,0.01504,114.572,1.723,0.8614,2.584,111.988
2020-04-07,SE,36,4,2,2321683,28,8.3,299,6,293,,,,,,,,,,,,,,0.6667,0.01338,128.786,1.723,0.8614,2.584,126.202
2020-04-08,SE,39,4,2,2321683,28,8.3,324,6,318,,,,,,,,,,,,,,0.6667,0.01235,139.554,1.723,0.8614,2.584,136.97
2020-04-09,SE,40,4,2,2321683,28,8.3,332,6,326,,,,,,,,,,,,,,0.6667,0.01205,143.0,1.723,0.8614,2.584,140.415
2020-04-10,SE,42,4,2,2321683,28,8.3,349,6,343,,,,,,,,,,,,,,0.6667,0.01146,150.322,1.723,0.8614,2.584,147.738
2020-04-11,SE,44,4,2,2321683,28,8.3,365,6,359,,,,,,,,,,,,,,0.6667,0.01096,157.214,1.723,0.8614,2.584,154.629
