Date,State,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-12,PR,6,0,11,1,11548297,41,8.3,50,11,39,,,,,,,,,,,,,,,0.0,4.33,0.0,0.953,0.953,3.38
2020-03-13,PR,6,0,5,2,11548297,41,8.3,50,5,45,,,,,,,,,,,,,,,0.0,4.33,0.0,0.433,0.433,3.9
2020-03-16,PR,6,0,12,3,11548297,41,8.3,50,12,38,,,,,,,,,,,,,,,0.0,4.33,0.0,1.04,1.04,3.29
2020-03-17,PR,12,0,20,4,11548297,41,8.3,100,20,80,,,,,,,,,,,,,,,0.0,8.66,0.0,1.73,1.73,6.93
2020-03-18,PR,14,0,27,5,11548297,41,8.3,116,27,89,,,,,,,,,,,,,,,0.0,10.04,0.0,2.34,2.34,7.71
2020-03-19,PR,23,0,35,6,11548297,41,8.3,191,35,156,,,,,,,,,,,,,,,0.0,16.54,0.0,3.03,3.03,13.51
2020-03-20,PR,36,0,60,7,11548297,41,8.3,299,60,239,7.71,64.0,13.14,0.0,13.14,50.86,,,,,,,,,0.0,25.89,0.0,5.2,5.2,20.7
2020-03-21,PR,43,0,75,8,11548297,41,8.3,357,75,282,8.29,68.71,17.0,0.0,17.0,51.71,,,,,,,,,0.0,30.91,0.0,6.49,6.49,24.42
2020-03-22,PR,54,0,83,9,11548297,41,8.3,448,83,365,11.86,98.43,27.29,0.0,27.29,71.14,,,,,,,,,0.0,38.79,0.0,7.19,7.19,31.61
2020-03-23,PR,60,0,104,10,11548297,41,8.3,498,104,394,11.86,98.43,31.14,0.0,31.14,67.29,9.49,5.71,0.0571,5.77,3.71,,,,0.0,43.12,0.0,9.01,9.01,34.12
