Country,Region,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
France,Europe & Central Asia,High income,2020-01-22,8.31,5.43,67400097,40494,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
France,Europe & Central Asia,High income,2020-01-23,8.31,5.43,67400097,40494,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
France,Europe & Central Asia,High income,2020-01-24,8.31,5.43,67400097,40494,,,2,0,0,2,0,2,,,,,,,,,,,,,,,,0.0,0.0297,0.0,0.0,0.0,0.0297,,
France,Europe & Central Asia,High income,2020-01-25,8.31,5.43,67400097,40494,,,3,0,0,3,0,3,,,,,,,,,,,,,,,,0.0,0.0445,0.0,0.0,0.0,0.0445,,
France,Europe & Central Asia,High income,2020-01-26,8.31,5.43,67400097,40494,,,3,0,0,3,0,3,,,,,,,,,,,,,,,,0.0,0.0445,0.0,0.0,0.0,0.0445,,
France,Europe & Central Asia,High income,2020-01-27,8.31,5.43,67400097,40494,,,3,1,0,3,1,2,,,,,,,,,,,,,,,0.0,0.0,0.0445,0.0,0.0148,0.0148,0.0297,,
France,Europe & Central Asia,High income,2020-01-28,8.31,5.43,67400097,40494,,,4,1,0,4,1,3,0.429,0.429,,,,,,,,,,,,,0.0,0.0,0.0593,0.0,0.0148,0.0148,0.0445,,
France,Europe & Central Asia,High income,2020-01-29,8.31,5.43,67400097,40494,,,5,1,0,5,1,4,0.429,0.429,,,,,,,,,,,,,0.0,0.0,0.0742,0.0,0.0148,0.0148,0.0593,,
France,Europe & Central Asia,High income,2020-01-30,8.31,5.43,67400097,40494,,,5,2,0,5,2,3,0.429,0.429,,,,,,,,,,,,,0.0,0.0,0.0742,0.0,0.0297,0.0297,0.0445,,
France,Europe & Central Asia,High income,2020-01-31,8.31,5.43,67400097,40494,,,5,2,0,5,2,3,0.429,0.429,0.286,,,,-0.0571,,,,,,,,0.0,0.0,0.0742,0.0,0.0297,0.0297,0.0445,,
France,Europe & Central Asia,High income,2020-02-01,8.31,5.43,67400097,40494,,,6,2,0,6,2,4,0.286,0.286,0.286,,,,-0.0571,,,,,,,,0.0,0.0,0.089,0.0,0.0297,0.0297,0.0593,,
France,Europe & Central Asia,High income,2020-02-02,8.31,5.43,67400097,40494,,,6,2,0,6,2,4,0.143,0.143,0.286,,,,-0.0571,,,,,,,,0.0,0.0,0.089,0.0,0.0297,0.0297,0.0593,,
France,Europe & Central Asia,High income,2020-02-03,8.31,5.43,67400097,40494,,,6,3,0,6,3,3,0.143,0.143,0.286,,,,0.0571,0.0,,,,,,,0.0,0.0,0.089,0.0,0.0445,0.0445,0.0445,,
France,Europe & Central Asia,High income,2020-02-04,8.31,5.43,67400097,40494,,,6,3,0,6,3,3,0.143,0.143,0.286,,,,0.0857,0.0286,,,,,,,0.0,0.0,0.089,0.0,0.0445,0.0445,0.0445,,
France,Europe & Central Asia,High income,2020-02-05,8.31,5.43,67400097,40494,,,6,3,0,6,3,3,0.714,0.714,0.286,,,,0.114,0.0,,,,,,,0.0,0.0,0.089,0.0,0.0445,0.0445,0.0445,,
France,Europe & Central Asia,High income,2020-02-06,8.31,5.43,67400097,40494,,,6,4,0,6,4,2,0.714,0.714,0.429,,,,0.114,0.0286,,,,-0.0114,,,0.0,0.0,0.089,0.0,0.0593,0.0593,0.0297,,
France,Europe & Central Asia,High income,2020-02-07,8.31,5.43,67400097,40494,,,6,4,0,6,4,2,0.714,0.714,0.286,,,,0.114,0.0286,,,,-0.0171,,,0.0,0.0,0.089,0.0,0.0593,0.0593,0.0297,,
