Country,Date,Latitude,Longitude,Estimated Population,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Namibia,2020-01-22,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-23,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-24,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-25,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-26,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-27,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-28,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-29,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-30,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-01-31,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-02-01,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-02-02,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-02-03,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
Namibia,2020-02-04,-22.9576,18.49,2534225,,,0,0,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,0.034,0.0,0.0,0.0,0.0,0.0,,
