Date,Confirmed,Exposed,Active,Recovered,Deaths,Diff Exposed,Diff Active,Diff Recovered,Diff Deaths
2020-07-15,529,0,1,522,6,0,0,0,0
2020-07-16,528,0,0,522,6,0,0,0,0
2020-07-17,528,0,0,522,6,0,0,0,0
2020-07-18,528,0,0,522,6,0,0,0,0
2020-07-19,529,0,0,523,6,0,0,0,0
2020-07-20,529,0,0,523,6,0,0,0,0
2020-07-21,529,0,0,523,6,0,0,0,0
2020-07-22,529,0,0,523,6,0,0,0,0
2020-07-23,529,0,0,523,6,0,0,0,0
2020-07-24,529,0,0,523,6,0,0,0,0
2020-07-25,529,0,0,523,6,0,0,0,0
2020-07-26,529,0,0,523,6,0,0,0,0
2020-07-27,529,0,0,523,6,0,0,0,0
2020-07-28,529,0,0,523,6,0,0,0,0
2020-07-29,529,0,0,523,6,0,0,0,0
2020-07-30,529,0,0,523,6,0,0,0,0
2020-07-31,529,0,0,523,6,0,0,0,0
2020-08-01,529,0,0,523,6,0,0,0,0
2020-08-02,529,0,0,523,6,0,0,0,0
2020-08-03,529,0,0,523,6,0,0,0,0
2020-08-04,529,0,0,523,6,0,0,0,0
2020-08-05,529,0,0,523,6,0,0,0,0
2020-08-06,529,0,0,523,6,0,0,0,0
2020-08-07,529,0,0,523,6,0,0,0,0
2020-08-08,529,0,0,523,6,0,0,0,0
2020-08-09,529,0,0,523,6,0,0,0,0
2020-08-10,529,0,0,523,6,0,0,0,0
2020-08-11,529,0,0,523,6,0,0,0,0
2020-08-12,529,0,0,523,6,0,0,0,0
2020-08-13,529,0,0,523,6,0,0,0,0
2020-08-14,529,0,0,523,6,0,0,0,0
2020-08-15,529,0,0,523,6,0,0,0,0
2020-08-16,529,0,0,523,6,0,0,0,0
2020-08-17,529,0,0,523,6,0,0,0,0
2020-08-18,529,0,0,523,6,0,0,0,0
2020-08-19,529,0,0,523,6,0,0,0,0
2020-08-20,529,0,0,523,6,0,0,0,0
2020-08-21,529,0,0,523,6,0,0,0,0
2020-08-22,529,0,0,523,6,0,0,0,0
2020-08-23,529,0,0,523,6,0,0,0,0
2020-08-24,529,0,0,523,6,0,0,0,0
2020-08-25,529,0,0,523,6,0,0,0,0
2020-08-26,529,0,0,523,6,0,0,0,0
2020-08-27,529,0,0,523,6,0,0,0,0
2020-08-28,529,0,0,523,6,0,0,0,0
2020-08-29,529,0,0,523,6,0,0,0,0
2020-08-30,529,0,0,523,6,0,0,0,0
2020-08-31,529,0,0,523,6,0,0,0,0
2020-09-01,529,0,0,523,6,0,0,0,0
2020-09-02,529,0,0,523,6,0,0,0,0
2020-09-03,529,0,0,523,6,0,0,0,0
2020-09-04,529,0,0,523,6,0,0,0,0
2020-09-05,529,0,0,523,6,0,0,0,0
2020-09-06,529,0,0,523,6,0,0,0,0
2020-09-07,529,0,0,523,6,0,0,0,0
2020-09-08,529,0,0,523,6,0,0,0,0
2020-09-09,529,0,0,523,6,0,0,0,0
2020-09-10,529,0,0,523,6,0,0,0,0
2020-09-11,529,0,0,523,6,0,0,0,0
2020-09-12,529,0,0,523,6,0,0,0,0
2020-09-13,529,0,0,523,6,0,0,0,0
2020-09-14,529,0,0,523,6,0,0,0,0
2020-09-15,529,0,0,523,6,0,0,0,0
2020-09-16,529,0,0,523,6,0,0,0,0
2020-09-17,529,0,0,523,6,0,0,0,0
2020-09-18,529,0,0,523,6,0,0,0,0
2020-09-19,529,0,0,523,6,0,0,0,0
2020-09-20,529,0,0,523,6,0,0,0,0
2020-09-21,529,0,0,523,6,0,0,0,0
2020-09-22,529,0,0,523,6,0,0,0,0
2020-09-23,529,0,0,523,6,0,0,0,0
2020-09-24,529,0,0,523,6,0,0,0,0
2020-09-25,529,0,0,523,6,0,0,0,0
2020-09-26,529,0,0,523,6,0,0,0,0
2020-09-27,529,0,0,523,6,0,0,0,0
2020-09-28,529,0,0,523,6,0,0,0,0
2020-09-29,529,0,0,523,6,0,0,0,0
2020-09-30,529,0,0,523,6,0,0,0,0
2020-10-01,529,0,0,523,6,0,0,0,0
2020-10-02,529,0,0,523,6,0,0,0,0
2020-10-03,529,0,0,523,6,0,0,0,0
2020-10-04,529,0,0,523,6,0,0,0,0
2020-10-05,529,0,0,523,6,0,0,0,0
2020-10-06,529,0,0,523,6,0,0,0,0
2020-10-07,529,0,0,523,6,0,0,0,0
2020-10-08,529,0,0,523,6,0,0,0,0
2020-10-09,529,0,0,523,6,0,0,0,0
2020-10-10,529,0,0,523,6,0,0,0,0
2020-10-11,529,0,0,523,6,0,0,0,0
2020-10-12,529,0,0,523,6,0,0,0,0
2020-10-13,529,0,0,523,6,0,0,0,0
2020-10-14,529,0,0,523,6,0,0,0,0
2020-10-15,529,0,0,523,6,0,0,0,0
2020-10-16,529,0,0,523,6,0,0,0,0
2020-10-17,529,0,0,523,6,0,0,0,0
2020-10-18,529,0,0,523,6,0,0,0,0
2020-10-19,529,0,0,523,6,0,0,0,0
2020-10-20,529,0,0,523,6,0,0,0,0
2020-10-21,529,0,0,523,6,0,0,0,0
2020-10-22,529,0,0,523,6,0,0,0,0
2020-10-23,529,0,0,523,6,0,0,0,0
2020-10-24,529,0,0,523,6,0,0,0,0
2020-10-25,529,0,0,523,6,0,0,0,0
2020-10-26,529,0,0,523,6,0,0,0,0
2020-10-27,529,0,0,523,6,0,0,0,0
2020-10-28,529,0,0,523,6,0,0,0,0
2020-10-29,529,0,0,523,6,0,0,0,0
2020-10-30,529,0,0,523,6,0,0,0,0
2020-10-31,529,0,0,523,6,0,0,0,0
2020-11-01,529,0,0,523,6,0,0,0,0
2020-11-02,529,0,0,523,6,0,0,0,0
2020-11-03,529,0,0,523,6,0,0,0,0
2020-11-04,529,0,0,523,6,0,0,0,0
2020-11-05,529,0,0,523,6,0,0,0,0
2020-11-06,529,0,0,523,6,0,0,0,0
2020-11-07,529,0,0,523,6,0,0,0,0
2020-11-08,529,0,0,523,6,0,0,0,0
2020-11-09,529,0,0,523,6,0,0,0,0
2020-11-10,529,0,0,523,6,0,0,0,0
2020-11-11,529,0,0,523,6,0,0,0,0
2020-11-12,529,0,0,523,6,0,0,0,0
2020-11-13,529,0,0,523,6,0,0,0,0
2020-11-14,529,0,0,523,6,0,0,0,0
2020-11-15,529,0,0,523,6,0,0,0,0
2020-11-16,529,0,0,523,6,0,0,0,0
2020-11-17,529,0,0,523,6,0,0,0,0
2020-11-18,529,0,0,523,6,0,0,0,0
2020-11-19,529,0,0,523,6,0,0,0,0
2020-11-20,529,0,0,523,6,0,0,0,0
2020-11-21,529,0,0,523,6,0,0,0,0
2020-11-22,529,0,0,523,6,0,0,0,0
2020-11-23,529,0,0,523,6,0,0,0,0
2020-11-24,529,0,0,523,6,0,0,0,0
2020-11-25,529,0,0,523,6,0,0,0,0
2020-11-26,529,0,0,523,6,0,0,0,0
2020-11-27,529,0,0,523,6,0,0,0,0
2020-11-28,529,0,0,523,6,0,0,0,0
2020-11-29,529,0,0,523,6,0,0,0,0
2020-11-30,529,0,0,523,6,0,0,0,0
2020-12-01,529,0,0,523,6,0,0,0,0
2020-12-02,529,0,0,523,6,0,0,0,0
2020-12-03,529,0,0,523,6,0,0,0,0
2020-12-04,529,0,0,523,6,0,0,0,0
2020-12-05,529,0,0,523,6,0,0,0,0
2020-12-06,529,0,0,523,6,0,0,0,0
2020-12-07,529,0,0,523,6,0,0,0,0
2020-12-08,529,0,0,523,6,0,0,0,0
2020-12-09,529,0,0,523,6,0,0,0,0
2020-12-10,529,0,0,523,6,0,0,0,0
2020-12-11,529,0,0,523,6,0,0,0,0
2020-12-12,529,0,0,523,6,0,0,0,0
2020-12-13,529,0,0,523,6,0,0,0,0
2020-12-14,529,0,0,523,6,0,0,0,0
2020-12-15,529,0,0,523,6,0,0,0,0
2020-12-16,529,0,0,523,6,0,0,0,0
2020-12-17,529,0,0,523,6,0,0,0,0
2020-12-18,529,0,0,523,6,0,0,0,0
2020-12-19,529,0,0,523,6,0,0,0,0
2020-12-20,529,0,0,523,6,0,0,0,0
2020-12-21,529,0,0,523,6,0,0,0,0
2020-12-22,529,0,0,523,6,0,0,0,0
2020-12-23,529,0,0,523,6,0,0,0,0
2020-12-24,529,0,0,523,6,0,0,0,0
2020-12-25,529,0,0,523,6,0,0,0,0
2020-12-26,529,0,0,523,6,0,0,0,0
2020-12-27,529,0,0,523,6,0,0,0,0
2020-12-28,529,0,0,523,6,0,0,0,0
2020-12-29,529,0,0,523,6,0,0,0,0
2020-12-30,529,0,0,523,6,0,0,0,0
2020-12-31,529,0,0,523,6,0,0,0,0
2021-01-01,529,0,0,523,6,0,0,0,0
2021-01-02,529,0,0,523,6,0,0,0,0
2021-01-03,529,0,0,523,6,0,0,0,0
2021-01-04,529,0,0,523,6,0,0,0,0
2021-01-05,529,0,0,523,6,0,0,0,0
2021-01-06,529,0,0,523,6,0,0,0,0
2021-01-07,529,0,0,523,6,0,0,0,0
2021-01-08,529,0,0,523,6,0,0,0,0
2021-01-09,529,0,0,523,6,0,0,0,0
2021-01-10,529,0,0,523,6,0,0,0,0
2021-01-11,529,0,0,523,6,0,0,0,0
2021-01-12,529,0,0,523,6,0,0,0,0
2021-01-13,529,0,0,523,6,0,0,0,0
2021-01-14,529,0,0,523,6,0,0,0,0
2021-01-15,529,0,0,523,6,0,0,0,0
2021-01-16,529,0,0,523,6,0,0,0,0
2021-01-17,529,0,0,523,6,0,0,0,0
2021-01-18,529,0,0,523,6,0,0,0,0
2021-01-19,529,0,0,523,6,0,0,0,0
2021-01-20,529,0,0,523,6,0,0,0,0
2021-01-21,529,0,0,523,6,0,0,0,0
2021-01-22,529,0,0,523,6,0,0,0,0
2021-01-23,529,0,0,523,6,0,0,0,0
2021-01-24,529,0,0,523,6,0,0,0,0
2021-01-25,529,0,0,523,6,0,0,0,0
2021-01-26,529,0,0,523,6,0,0,0,0
2021-01-27,529,0,0,523,6,0,0,0,0
2021-01-28,529,0,0,523,6,0,0,0,0
2021-01-29,529,0,0,523,6,0,0,0,0
2021-01-30,529,0,0,523,6,0,0,0,0
2021-01-31,529,0,0,523,6,0,0,0,0
2021-02-01,529,0,0,523,6,0,0,0,0
2021-02-02,529,0,0,523,6,0,0,0,0
2021-02-03,529,0,0,523,6,0,0,0,0
2021-02-04,529,0,0,523,6,0,0,0,0
2021-02-05,529,0,0,523,6,0,0,0,0
2021-02-06,529,0,0,523,6,0,0,0,0
2021-02-07,529,0,0,523,6,0,0,0,0
2021-02-08,529,0,0,523,6,0,0,0,0
2021-02-09,529,0,0,523,6,0,0,0,0
2021-02-10,529,0,0,523,6,0,0,0,0
2021-02-11,529,0,0,523,6,0,0,0,0
2021-02-12,529,0,0,523,6,0,0,0,0
2021-02-13,529,0,0,523,6,0,0,0,0
2021-02-14,529,0,0,523,6,0,0,0,0
2021-02-15,529,0,0,523,6,0,0,0,0
2021-02-16,529,0,0,523,6,0,0,0,0
2021-02-17,529,0,0,523,6,0,0,0,0
2021-02-18,529,0,0,523,6,0,0,0,0
2021-02-19,529,0,0,523,6,0,0,0,0
2021-02-20,529,0,0,523,6,0,0,0,0
2021-02-21,529,0,0,523,6,0,0,0,0
2021-02-22,529,0,0,523,6,0,0,0,0
2021-02-23,529,0,0,523,6,0,0,0,0
2021-02-24,529,0,0,523,6,0,0,0,0
2021-02-25,529,0,0,523,6,0,0,0,0
2021-02-26,529,0,0,523,6,0,0,0,0
2021-02-27,529,0,0,523,6,0,0,0,0
2021-02-28,529,0,0,523,6,0,0,0,0
2021-03-01,529,0,0,523,6,0,0,0,0
2021-03-02,529,0,0,523,6,0,0,0,0
2021-03-03,529,0,0,523,6,0,0,0,0
2021-03-04,529,0,0,523,6,0,0,0,0
2021-03-05,529,0,0,523,6,0,0,0,0
2021-03-06,529,0,0,523,6,0,0,0,0
2021-03-07,529,0,0,523,6,0,0,0,0
2021-03-08,529,0,0,523,6,0,0,0,0
2021-03-09,529,0,0,523,6,0,0,0,0
2021-03-10,529,0,0,523,6,0,0,0,0
2021-03-11,529,0,0,523,6,0,0,0,0
2021-03-12,529,0,0,523,6,0,0,0,0
2021-03-13,529,0,0,523,6,0,0,0,0
2021-03-14,529,0,0,523,6,0,0,0,0
2021-03-15,529,0,0,523,6,0,0,0,0
2021-03-16,529,0,0,523,6,0,0,0,0
2021-03-17,529,0,0,523,6,0,0,0,0
2021-03-18,529,0,0,523,6,0,0,0,0
2021-03-19,529,0,0,523,6,0,0,0,0
2021-03-20,529,0,0,523,6,0,0,0,0
2021-03-21,529,0,0,523,6,0,0,0,0
2021-03-22,529,0,0,523,6,0,0,0,0
2021-03-23,529,0,0,523,6,0,0,0,0
2021-03-24,529,0,0,523,6,0,0,0,0
2021-03-25,529,0,0,523,6,0,0,0,0
2021-03-26,529,0,0,523,6,0,0,0,0
2021-03-27,529,0,0,523,6,0,0,0,0
2021-03-28,529,0,0,523,6,0,0,0,0
2021-03-29,529,0,0,523,6,0,0,0,0
2021-03-30,529,0,0,523,6,0,0,0,0
2021-03-31,529,0,0,523,6,0,0,0,0
2021-04-01,529,0,0,523,6,0,0,0,0
2021-04-02,529,0,0,523,6,0,0,0,0
2021-04-03,529,0,0,523,6,0,0,0,0
2021-04-04,529,0,0,523,6,0,0,0,0
2021-04-05,529,0,0,523,6,0,0,0,0
2021-04-06,529,0,0,523,6,0,0,0,0
2021-04-07,529,0,0,523,6,0,0,0,0
2021-04-08,529,0,0,523,6,0,0,0,0
2021-04-09,529,0,0,523,6,0,0,0,0
2021-04-10,529,0,0,523,6,0,0,0,0
2021-04-11,529,0,0,523,6,0,0,0,0
2021-04-12,529,0,0,523,6,0,0,0,0
2021-04-13,529,0,0,523,6,0,0,0,0
2021-04-14,529,0,0,523,6,0,0,0,0
2021-04-15,529,0,0,523,6,0,0,0,0
2021-04-16,529,0,0,523,6,0,0,0,0
2021-04-17,529,0,0,523,6,0,0,0,0
2021-04-18,529,0,0,523,6,0,0,0,0
2021-04-19,529,0,0,523,6,0,0,0,0
2021-04-20,529,0,0,523,6,0,0,0,0
2021-04-21,529,0,0,523,6,0,0,0,0
2021-04-22,529,0,0,523,6,0,0,0,0
2021-04-23,529,0,0,523,6,0,0,0,0
2021-04-24,529,0,0,523,6,0,0,0,0
2021-04-25,529,0,0,523,6,0,0,0,0
2021-04-26,529,0,0,523,6,0,0,0,0
2021-04-27,529,0,0,523,6,0,0,0,0
2021-04-28,529,0,0,523,6,0,0,0,0
2021-04-29,529,0,0,523,6,0,0,0,0
2021-04-30,529,0,0,523,6,0,0,0,0
2021-05-01,529,0,0,523,6,0,0,0,0
2021-05-02,529,0,0,523,6,0,0,0,0
2021-05-03,529,0,0,523,6,0,0,0,0
