date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-13,TO,Arapoema,1,0,5,6709,1702307,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1192.428,0.0,745.268,745.268,447.161
2020-05-14,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-15,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-17,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-18,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-19,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-20,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-21,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-22,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-25,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-26,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-28,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-29,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-30,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-31,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-01,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-02,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-03,TO,Arapoema,0,0,0,6709,1702307,8.3,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-06-05,TO,Arapoema,1,0,5,6709,1702307,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1192.428,0.0,745.268,745.268,447.161
2020-06-06,TO,Arapoema,2,0,11,6709,1702307,8.3,17,11,6,,,,,,,,,,,,,,0.0,0.0,2533.91,0.0,1639.589,1639.589,894.321
2020-06-07,TO,Arapoema,1,0,5,6709,1702307,8.3,8,5,3,,,,,,,,,,,,,,0.0,0.0,1192.428,0.0,745.268,745.268,447.161
2020-06-08,TO,Arapoema,1,0,5,6709,1702307,8.3,8,5,3,1.5,1.0,,,,,,,,,,,,0.0,0.0,1192.428,0.0,745.268,745.268,447.161
2020-06-09,TO,Arapoema,1,0,5,6709,1702307,8.3,8,5,3,0.0,0.1667,,,,,,,,,,,,0.0,0.0,1192.428,0.0,745.268,745.268,447.161
2020-06-10,TO,Arapoema,1,0,5,6709,1702307,8.3,8,5,3,1.5,1.167,,,,,,,,,,,,0.0,0.0,1192.428,0.0,745.268,745.268,447.161
2020-06-11,TO,Arapoema,2,0,11,6709,1702307,8.3,17,11,6,,,,,,,,,,,,,,0.0,0.0,2533.91,0.0,1639.589,1639.589,894.321
2020-06-12,TO,Arapoema,2,0,12,6709,1702307,8.3,17,12,5,,,,,,,,,,,,,,0.0,0.0,2533.91,0.0,1788.642,1788.642,745.268
2020-06-13,TO,Arapoema,2,0,12,6709,1702307,8.3,17,12,5,,,,,,,,,,,,,,0.0,0.0,2533.91,0.0,1788.642,1788.642,745.268
