Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
,2020-01-22,,,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-23,,,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-24,,,3,0,0,3,0,3,,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-25,,,3,0,0,3,0,3,,,,,,,,,,,,,,,,0.0,,,,,,,
,2020-01-26,,,4,1,0,4,1,3,1.0,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
,2020-01-27,,,5,1,0,5,1,4,1.14,1.14,,,,,,,,,,,,,0.0,0.0,,,,,,,
,2020-01-28,,,8,1,0,8,1,7,1.0,1.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
,2020-01-29,,,8,2,0,8,2,6,1.0,1.0,,,,,-0.0571,,,,,,,,0.0,0.0,,,,,,,
,2020-01-30,,,9,2,0,9,2,7,0.857,0.857,0.429,,,,-0.1429,,,,,,,,0.0,0.0,,,,,,,
,2020-01-31,,,10,3,0,10,3,7,0.714,0.714,0.571,,,,-0.1143,,,,,,,,0.0,0.0,,,,,,,
,2020-02-01,,,10,4,0,10,4,6,0.429,0.429,0.571,,,,0.0,,,,,,,,0.0,0.0,,,,,,,
,2020-02-02,,,10,4,0,10,4,6,0.429,0.429,0.571,,,,1.74,0.0286,,,,,,,0.0,0.0,,,,,,,
,2020-02-03,,,10,5,0,10,5,5,1.0,1.0,0.571,,,,1.8,0.171,,,,,,,0.0,0.0,,,,,,,
,2020-02-04,,,11,5,0,11,5,6,9.57,9.57,0.571,,,,1.97,0.343,,,,,,,0.0,0.0,,,,,,,
,2020-02-05,,,11,6,0,11,6,5,9.71,9.71,1.43,,,,4.0,0.457,,,,0.309,,,0.0,0.0,,,,,,,
,2020-02-06,,,16,6,0,16,6,10,10.29,10.29,2.29,,,,3.86,0.771,,,,0.263,,,0.0,0.0,,,,,,,
,2020-02-07,,,77,7,0,77,7,70,20.43,20.43,2.86,,,,3.29,1.06,,,,0.103,,,0.0,0.0,,,,,,,
