Key,Group Name,M,β,γ,α,μ,σ(β),σ(γ),σ(α),σ(μ),σ(E),R0,σ(R0),Loss 7 Days,Loss 14 Days
abadiânia__go,All,20242.0,0.146,0.196,0.0909,0.0064,0.011,0.7,1.0,0.0016,150.86,1.6,17.62,0.481,0.481
abaetetuba__pa,All,159275.0,0.144,0.196,0.0909,0.0067,0.0012,0.7,1.0,0.0001,1511.18,1.59,17.48,1.73,1.73
abaiara__ce,All,11854.0,0.119,0.196,0.0909,0.0032,0.0611,0.7,1.0,0.0004,148.26,1.31,14.39,0.751,0.751
abel_figueiredo__pa,All,7508.0,0.155,0.196,0.0909,0.0017,0.0164,0.7,1.0,,195.07,1.71,18.79,0.869,0.869
abelardo_luz__sc,All,18083.0,0.109,0.196,0.0909,0.0012,0.0645,0.7,1.0,0.0003,780.3,1.2,13.18,0.702,0.702
abreu_e_lima__pe,All,100990.0,0.126,0.196,0.0909,0.0188,0.0047,0.7,1.0,0.0004,603.43,1.39,15.3,2.0,2.0
acaiaca__mg,All,4034.0,0.0013,0.196,0.0909,0.0072,0.316,0.7,1.0,0.0001,343.33,0.0142,3.48,1.18,1.18
acajutiba__ba,All,15311.0,0.0508,0.196,0.0909,0.0089,0.0448,0.7,1.0,0.0021,260.1,0.559,6.17,0.629,0.629
acarape__ce,All,15078.0,0.373,0.196,0.0909,0.0014,0.0223,0.7,1.0,0.0001,6778.21,4.1,45.15,1.18,1.18
acaraú__ce,All,63267.0,0.198,0.196,0.0909,0.0017,0.027,0.7,1.0,0.0,16667.21,2.18,24.01,1.02,1.02
acari__rn,All,11247.0,0.353,0.196,0.0909,0.0062,0.25,0.7,1.0,0.0003,0.0,3.88,42.76,1.0,1.0
acará__pa,All,56147.0,0.0023,0.196,0.0909,0.0032,0.015,0.7,1.0,0.0003,4057.56,0.0248,0.318,4.8,4.8
acopiara__ce,All,54813.0,0.145,0.196,0.0909,0.004,0.0201,0.7,1.0,0.0003,1656.84,1.59,17.54,0.594,0.594
acorizal__mt,All,5453.0,0.0877,0.196,0.0909,0.0029,0.0216,0.7,1.0,0.0004,364.14,0.965,10.62,0.667,0.667
acrelândia__ac,All,15409.0,0.144,0.196,0.0909,0.0023,0.25,0.7,1.0,0.0001,239.29,1.58,17.64,2.21,2.21
acreúna__go,All,22590.0,0.417,0.196,0.0909,0.0047,0.101,0.7,1.0,0.0026,130.05,4.58,50.44,0.456,0.456
adamantina__sp,All,35419.0,0.154,0.196,0.0909,0.0102,0.0164,0.7,1.0,0.0008,153.46,1.7,18.69,0.824,0.824
adolfo__sp,All,3598.0,0.0358,0.196,0.0909,0.0112,0.0523,0.7,1.0,0.0003,228.89,0.394,4.37,1.02,1.02
adrianópolis__pr,All,5978.0,0.172,0.196,0.0909,0.005,0.0329,0.7,1.0,0.0011,215.88,1.89,20.84,0.331,0.331
adustina__ba,All,17210.0,0.0598,0.196,0.0909,0.0051,0.0734,0.7,1.0,0.0006,280.91,0.658,7.28,0.492,0.492
afogados_da_ingazeira__pe,All,37632.0,0.112,0.196,0.0909,0.0062,0.0055,0.7,1.0,0.0009,452.57,1.23,13.58,0.513,0.513
afonso_bezerra__rn,All,11145.0,0.237,0.196,0.0909,0.0142,0.25,0.7,1.0,0.0017,0.0,2.61,28.8,1.33,1.33
afonso_cláudio__es,All,30892.0,0.101,0.196,0.0909,0.0028,0.25,0.7,1.0,0.0001,3191.43,1.11,12.5,0.26,0.26
afonso_cunha__ma,All,6589.0,0.0725,0.196,0.0909,0.002,0.0883,0.7,1.0,0.0002,431.77,0.797,8.82,1.1,1.1
afrânio__pe,All,19831.0,0.121,0.196,0.0909,0.0024,0.0142,0.7,1.0,0.0001,65.02,1.33,14.61,1.39,1.39
afuá__pa,All,39610.0,0.105,0.196,0.0909,0.0013,0.0196,0.7,1.0,0.0002,3690.82,1.16,12.75,0.85,0.85
agrestina__pe,All,25134.0,0.104,0.196,0.0909,0.0112,0.0138,0.7,1.0,0.0006,970.17,1.14,12.55,0.459,0.459
agrolândia__sc,All,10973.0,0.175,0.196,0.0909,0.0065,0.0105,0.7,1.0,0.0016,65.02,1.93,21.22,0.449,0.449
