Country,Date,Latitude,Longitude,Estimated Population,Estimated Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff4 Confirmed,Diff5 Confirmed,μ_closed,μ_confirmed,Confirmed Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Spain,2020-01-22,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-23,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-24,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-25,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-26,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-27,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-28,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-29,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-30,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-01-31,40.0,-4.0,47545141,30371,,,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Spain,2020-02-01,40.0,-4.0,47545141,30371,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.02103,0.0,0.0,0.0,0.02103,,
Spain,2020-02-02,40.0,-4.0,47545141,30371,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.02103,0.0,0.0,0.0,0.02103,,
Spain,2020-02-03,40.0,-4.0,47545141,30371,,,1,0,0,0,1,,,,,,,,,,,,,,,0.0,0.02103,0.0,0.0,0.0,0.02103,,
