Country,Country Code,Avg Gdp Pc Factor,Gdp Per Capita
Albania,ALB,1.089,5269
Algeria,DZA,1.048,4115
Andorra,AND,1.037,42030
Angola,AGO,1.106,3432
Antigua and Barbuda,ATG,1.024,16727
Arab World,ARB,1.053,6610
Argentina,ARG,1.023,11684
Armenia,ARM,1.112,4212
Aruba,ABW,1.0,20621
Australia,AUS,1.056,57396
Austria,AUT,1.042,51500
Azerbaijan,AZE,1.116,4722
Bahamas,BHS,1.01,32218
Bahrain,BHR,1.032,24051
Bangladesh,BGD,1.081,1698
Barbados,BRB,1.025,17949
Belarus,BLR,1.093,6330
Belgium,BEL,1.041,47472
Belize,BLZ,1.021,4885
Benin,BEN,1.05,1241
Bermuda,BMU,1.0,56284
Bhutan,BTN,1.087,3243
Bolivia,BOL,1.073,3549
Bosnia and Herzegovina,BIH,1.082,6066
Botswana,BWA,1.048,8259
Brazil,BRA,1.05,9001
Brunei,BRN,1.032,31628
Bulgaria,BGR,1.102,9272
Burkina Faso,BFA,1.066,715
Burundi,BDI,1.039,272
Cabo Verde,CPV,1.061,3635
Cambodia,KHM,1.093,1510
Cameroon,CMR,1.049,1534
Canada,CAN,1.037,46234
Caribbean small states,CSS,1.036,9991
Central African Republic,CAF,1.036,476
Central Europe and the Baltics,CEB,1.081,15926
Chad,TCD,1.086,728
Channel Islands,CHI,1.0,43382
Chile,CHL,1.066,15923
China,CHN,1.138,9771
Colombia,COL,1.056,6668
Comoros,COM,1.045,1415
Congo-Brazzaville,COG,1.042,2148
Congo-Kinshasa,COD,1.018,562
Costa Rica,CRI,1.067,12027
Cote d'Ivoire,CIV,1.055,1716
Croatia,HRV,1.064,14915
Cuba,CUB,1.067,8822
Cyprus,CYP,1.039,28690
Czech Republic,CZE,1.078,23069
Denmark,DNK,1.039,61391
Djibouti,DJI,1.08,3083
Dominica,DMA,1.027,7691
Dominican Republic,DOM,1.059,8051
Early-demographic dividend,EAR,1.056,3582
East Asia & Pacific,EAS,1.058,11143
East Asia & Pacific (IDA & IBRD countries),TEA,1.124,7905
East Asia & Pacific (excluding high income),EAP,1.124,7822
Ecuador,ECU,1.086,6345
Egypt,EGY,1.032,2549
El Salvador,SLV,1.04,4058
Equatorial Guinea,GNQ,1.103,10144
Eritrea,ERI,1.0,308
Estonia,EST,1.102,23247
Eswatini,SWZ,1.05,4146
Ethiopia,ETH,1.107,772
Euro area,EMU,1.039,39919
Europe & Central Asia,ECS,1.044,25130
Europe & Central Asia (IDA & IBRD countries),TEC,1.085,8840
Europe & Central Asia (excluding high income),ECA,1.088,8181
European Union,EUU,1.042,35616
Faroe Islands,FRO,1.0,22653
Fiji,FJI,1.063,6267
Finland,FIN,1.041,50175
Fragile and conflict affected situations,FCS,1.056,2216
France,FRA,1.035,41470
French Polynesia,PYF,1.0,14324
Gabon,GAB,1.037,7953
Gambia,GMB,1.01,716
Georgia,GEO,1.108,4723
Germany,DEU,1.04,47616
Ghana,GHA,1.126,2202
Greece,GRC,1.029,20317
Greenland,GRL,1.0,19004
Grenada,GRD,1.042,10640
Guatemala,GTM,1.058,4549
Guinea,GIN,1.05,879
Guinea-Bissau,GNB,1.053,778
Guyana,GUY,1.096,4979
Haiti,HTI,1.035,868
Heavily indebted poor countries (HIPC),HPC,1.057,940
High income,HIC,1.032,44806
Honduras,HND,1.048,2506
"Hong Kong SAR, China",HKG,1.036,48676
Hungary,HUN,1.072,16151
IBRD only,IBD,1.086,6389
IDA & IBRD total,IBT,1.082,5102
IDA blend,IDB,1.068,1789
IDA only,IDX,1.066,1144
IDA total,IDA,1.067,1362
Iceland,ISL,1.047,73368
India,IND,1.088,2010
Indonesia,IDN,1.093,3894
Iran,IRN,1.0,1670
Ireland,IRL,1.063,78583
Isle of Man,IMN,1.0,20323
Israel,ISR,1.039,41720
Italy,ITA,1.03,34489
Jamaica,JAM,1.026,5354
Japan,JPN,1.001,39290
Jordan,JOR,1.053,4242
Kazakhstan,KAZ,1.122,9815
Kenya,KEN,1.084,1711
Kiribati,KIR,1.04,1625
Kosovo,XKX,1.079,4302
Kuwait,KWT,1.035,33994
Kyrgyzstan,KGZ,1.088,1280
Laos,LAO,1.121,2542
Late-demographic dividend,LTE,1.103,9704
Latin America & Caribbean,LCN,1.041,9073
Latin America & Caribbean (excluding high income),LAC,1.04,8576
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.041,8917
Latvia,LVA,1.097,17855
Least developed countries: UN classification,LDC,1.068,1058
Lebanon,LBN,1.034,8270
Lesotho,LSO,1.062,1299
Liberia,LBR,1.045,677
Libya,LBY,1.001,7242
Liechtenstein,LIE,1.0,74854
Lithuania,LTU,1.102,19071
Low & middle income,LMY,1.083,4975
Low income,LIC,1.056,841
Lower middle income,LMC,1.079,2218
Luxembourg,LUX,1.05,116597
"Macao SAR, China",MAC,1.1,87209
Madagascar,MDG,1.043,528
Malawi,MWI,1.052,389
Malaysia,MYS,1.059,11373
Maldives,MDV,1.089,10331
Mali,MLI,1.069,900
Malta,MLT,1.057,30030
Marshall Islands,MHL,1.029,3788
Mauritania,MRT,1.05,1189
Mauritius,MUS,1.06,11239
Mexico,MEX,1.017,9673
"Micronesia, Fed. Sts.",FSM,1.028,3568
Middle East & North Africa,MEA,1.055,8044
Middle East & North Africa (IDA & IBRD countries),TMN,1.0,1619
Middle East & North Africa (excluding high income),MNA,1.0,1618
Middle income,MIC,1.085,5489
Moldova,MDA,1.134,4229
Monaco,MCO,1.046,185741
Mongolia,MNG,1.128,4122
Montenegro,MNE,1.099,8846
Morocco,MAR,1.05,3222
Mozambique,MOZ,1.026,499
Myanmar,MMR,1.114,1326
Namibia,NAM,1.058,5931
Nepal,NPL,1.087,1034
Netherlands,NLD,1.04,53022
New Caledonia,NCL,1.0,12580
New Zealand,NZL,1.065,42331
Nicaragua,NIC,1.039,2021
Niger,NER,1.055,414
Nigeria,NGA,1.073,2028
North America,NAC,1.031,61198
North Macedonia,MKD,1.068,6084
Norway,NOR,1.043,81734
OECD members,OED,1.03,40427
Oman,OMN,1.037,16415
Other small states,OSS,1.07,14682
Pacific island small states,PSS,1.05,4225
Pakistan,PAK,1.06,1482
Palau,PLW,1.041,15859
Panama,PAN,1.078,15575
Papua New Guinea,PNG,1.088,2730
Paraguay,PRY,1.072,5822
Peru,PER,1.073,6941
Philippines,PHL,1.063,3103
Poland,POL,1.071,15422
Portugal,PRT,1.04,23403
Post-demographic dividend,PST,1.032,45149
Pre-demographic dividend,PRE,1.068,1440
Puerto Rico,PRI,1.038,31651
Qatar,QAT,1.047,68794
Romania,ROU,1.118,12306
Russia,RUS,1.108,11289
Rwanda,RWA,1.073,773
Samoa,WSM,1.057,4183
San Marino,SMR,1.0,40124
Saudi Arabia,SAU,1.053,23339
Senegal,SEN,1.053,1522
Serbia,SRB,1.125,7246
Seychelles,SYC,1.044,16434
Sierra Leone,SLE,1.078,534
Singapore,SGP,1.057,64582
Slovakia,SVK,1.074,19444
Slovenia,SVN,1.053,26042
Small states,SST,1.063,13198
Solomon Islands,SLB,1.04,2138
South Africa,ZAF,1.042,6374
South Asia,SAS,1.084,1903
South Asia (IDA & IBRD),TSA,1.084,1903
South Korea,KOR,1.055,31380
Spain,ESP,1.041,30324
Sri Lanka,LKA,1.09,4102
St. Kitts and Nevis,KNA,1.038,19275
St. Lucia,LCA,1.039,10566
St. Vincent and the Grenadines,VCT,1.039,7361
Sub-Saharan Africa,SSF,1.056,1589
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.056,1589
Sub-Saharan Africa (excluding high income),SSA,1.056,1588
Sudan,SDN,1.056,977
Suriname,SUR,1.065,6234
Sweden,SWE,1.035,54651
Switzerland,CHE,1.044,82829
Syrian Arab Republic,SYR,1.0,1178
Tajikistan,TJK,1.104,827
Tanzania,TZA,1.054,1061
Thailand,THA,1.074,7274
Timor-Leste,TLS,1.063,1237
Togo,TGO,1.046,679
Tonga,TON,1.042,4364
Trinidad and Tobago,TTO,1.056,17130
Tunisia,TUN,1.025,3448
Turkey,TUR,1.044,9370
Turkmenistan,TKM,1.142,6967
Tuvalu,TUV,1.053,3701
Uganda,UGA,1.051,643
Ukraine,UKR,1.092,3095
United Arab Emirates,ARE,1.014,43005
United Kingdom,GBR,1.024,42962
United States,USA,1.031,62887
Upper middle income,UMC,1.09,9212
Uruguay,URY,1.053,17278
Uzbekistan,UZB,1.058,1532
Vanuatu,VUT,1.043,3124
Venezuela,VEN,1.0,4842
Vietnam,VNM,1.11,2567
West Bank and Gaza,PSE,1.044,3199
World,WLD,1.041,11317
"Yemen, Rep.",YEM,1.03,944
Zambia,ZMB,1.087,1540
Zimbabwe,ZWE,1.077,2147
